business_name,yelp_rating,yelp_price,yelp_category,yelp_review_count,inspection_score,business_latitude,inspection_type,business_city,risk_category,business_location,business_phone_number,inspection_id,business_id,business_address,inspection_date,violation_description,violation_id,business_longitude,business_state,business_postal_code
ANZU Restaurant,3.5,$$$,Sushi Bars,517,78,37.785648,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.785648, -122.409497)",+14155391111,62550_20161128,62550,"222 Mason St, 2nd Floor",2016-11-28 00:00:00,Foods not protected from contamination,62550_20161128_103133,-122.409497,CA,94102
APERTO RESTAURANT,4.0,$$,Italian,884,84,37.762568,Routine - Unscheduled,San Francisco,Low Risk,"(37.762568, -122.397192)",,765_20150603,765,1434 18th St,2015-06-03 00:00:00,Unapproved or unmaintained equipment or utensils,765_20150603_103144,-122.397192,CA,94107
AQ Restaurant & Bar,3.5,$$$,American (New),615,83,37.779464,Routine - Unscheduled,San Francisco,Low Risk,"(37.779464, -122.410486)",,67432_20160609,67432,1085 Mission St,2016-06-09 00:00:00,Inadequate ventilation or lighting,67432_20160609_103147,-122.410486,CA,94103
ARIAKE,4.0,$$,Japanese,360,98,37.780523,Routine - Unscheduled,San Francisco,Low Risk,"(37.780523, -122.47358)",,2667_20160419,2667,5041 Geary Blvd,2016-04-19 00:00:00,Unclean or degraded floors walls or ceilings,2667_20160419_103154,-122.47358,CA,94118
ARINELL PIZZA,4.0,$,Pizza,1010,96,37.764744,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.764744, -122.421803)",+14155251303,1081_20160919,1081,509 VALENCIA St,2016-09-19 00:00:00,Moderate risk food holding temperature,1081_20160919_103120,-122.421803,CA,94110
ARIZMENDI BAKERY,4.5,$,Bakeries,1671,73,37.763448,Routine - Unscheduled,San Francisco,Low Risk,"(37.763448, -122.466344)",+14155563117,7755_20140828,7755,1331 09th Ave,2014-08-28 00:00:00,Unclean nonfood contact surfaces,7755_20140828_103142,-122.466344,CA,94122
ARLEQUIN,4.0,$$,Coffee & Tea,731,90,37.777014,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.777014, -122.422345)",,192_20160628,192,384 B Hayes St,2016-06-28 00:00:00,Moderate risk vermin infestation,192_20160628_103131,-122.422345,CA,94102
ART'S CAFE,4.0,$,Diners,974,94,37.764013,Routine - Unscheduled,San Francisco,,"(37.764013, -122.465749)",,48_20160630,48,747 IRVING St,2016-06-30 00:00:00,,,-122.465749,CA,94122
ASA SUSHI,3.5,$$,Sushi Bars,142,84,37.800023,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.800023, -122.442266)",+14155348263,267_20160721,267,2365 CHESTNUT St,2016-07-21 00:00:00,Inadequately cleaned or sanitized food contact surfaces,267_20160721_103124,-122.442266,CA,94123
ASIA SF LLC,5.0,$$$$,Art Galleries,5,87,37.775025,Routine - Unscheduled,San Francisco,Low Risk,"(37.775025, -122.413093)",+14155256789,4335_20150507,4335,201 09th St,2015-05-07 00:00:00,Wiping cloths not clean or properly stored or inadequate sanitizer,4335_20150507_103149,-122.413093,CA,94103
AT&T PARK - Gotham Bar,4.5,$$$,Sports Bars,16,100,,Routine - Unscheduled,San Francisco,,,,79905_20161011,79905,24 Willie Mays Plaza,2016-10-11 00:00:00,,,,CA,94107
ATAMI SUSHI BAR & GRILL,4.0,$$,Sushi Bars,237,96,37.800788,Routine - Unscheduled,San Francisco,Low Risk,"(37.800788, -122.428894)",+14155611958,2061_20150116,2061,1662 LOMBARD St,2015-01-16 00:00:00,Unclean nonfood contact surfaces,2061_20150116_103142,-122.428894,CA,94123
ATLAS CAFE,4.0,$,Sandwiches,692,90,37.759073,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.759073, -122.411418)",,1792_20160603,1792,3049 20th St,2016-06-03 00:00:00,Moderate risk vermin infestation,1792_20160603_103131,-122.411418,CA,94110
AVENUE FINE FOODS,4.0,$$$,Grocery,37,98,37.794494,Routine - Unscheduled,San Francisco,Low Risk,"(37.794494, -122.425527)",+14155294840,4947_20160613,4947,1837 PACIFIC Ave,2016-06-13 00:00:00,Improper food storage,4947_20160613_103139,-122.425527,CA,94109
AXUM,3.5,$$,Ethiopian,372,96,37.771738,Routine - Unscheduled,San Francisco,Low Risk,"(37.771738, -122.433583)",+14155257912,1636_20140924,1636,698 Haight St,2014-09-24 00:00:00,Improper storage use or identification of toxic substances,1636_20140924_103138,-122.433583,CA,94117
AZIZA RESTAURANT,4.0,$$$,Moroccan,1928,92,37.780308,Routine - Unscheduled,San Francisco,Low Risk,"(37.780308, -122.481692)",,3888_20140512,3888,5800 GEARY Blvd,2014-05-12 00:00:00,Unclean nonfood contact surfaces,3888_20140512_103142,-122.481692,CA,94121
Academy Bar & Kitchen,3.5,$$,Pizza,71,94,37.786498,Routine - Unscheduled,San Francisco,Low Risk,"(37.786498, -122.430283)",+14155771800,1778_20160906,1778,1800 Fillmore St,2016-09-06 00:00:00,Wiping cloths not clean or properly stored or inadequate sanitizer,1778_20160906_103149,-122.430283,CA,94115
Acme Bread Company,4.5,$,Bakeries,742,100,37.795225,Routine - Unscheduled,San Francisco,,"(37.795225, -122.39377)",,7546_20160405,7546,1 Ferry Building  #15,2016-04-05 00:00:00,,,-122.39377,CA,94111
Acquerello,4.5,$$$$,Italian,916,96,37.791507,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.791507, -122.421257)",,2175_20160722,2175,1722 Sacramento St,2016-07-22 00:00:00,Noncompliance with HAACP plan or variance,2175_20160722_103127,-122.421257,CA,94109
Acquolina,4.0,$$,Pizza,186,93,,Routine - Unscheduled,San Francisco,High Risk,,,82950_20160909,82950,1600 Stockton St,2016-09-09 00:00:00,Improper cooling methods,82950_20160909_103105,,CA,94133
